transport,birthcert,work,lost,disability,family,applied,other,relocation,hardship,id_capable,race
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,1,0,0,0,0,0,0,1,0,Other
0,0,0,0,1,0,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
1,0,1,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Black
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,0,0,1,White
0,0,0,0,0,1,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Black
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,1,0,White
0,0,1,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,1,0,White
1,1,0,0,0,0,0,1,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,1,0,0,White
1,0,1,1,1,0,0,0,0,0,1,White
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,Black
1,0,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,1,0,0,0,0,0,1,Black
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,1,0,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
1,0,0,0,0,0,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,White
1,0,0,0,0,0,0,0,0,1,0,White
0,0,0,0,1,0,0,0,0,1,0,Black
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,1,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,1,0,0,0,1,0,Black
1,0,0,0,1,0,0,0,0,1,0,White
1,0,0,0,0,0,0,0,0,1,0,White
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,Black
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,1,0,0,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,Black
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,0,0,1,0,Black
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,0,0,0,0,0,1,0,0,0,Other
0,0,0,0,0,0,0,1,0,0,0,Other
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,1,0,Latinx
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
1,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
1,0,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,1,0,0,1,Latinx
0,0,0,0,0,0,0,1,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,0,Latinx
1,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,1,White
0,1,0,0,0,0,0,0,0,1,0,Black
0,0,0,0,0,0,0,1,0,0,1,White
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,1,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,1,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,White
1,0,0,0,1,1,0,0,0,1,0,Latinx
0,0,1,0,0,0,0,0,1,0,0,White
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,1,0,1,1,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,Latinx
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,1,1,0,0,0,1,0,Latinx
1,0,0,1,1,0,0,0,0,0,1,Latinx
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Other
0,0,0,0,0,0,0,1,1,0,0,Asian
1,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,1,0,0,0,1,0,0,White
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,1,0,0,0,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,1,0,1,0,0,White
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,0,1,Latinx
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,0,0,0,NA
0,0,0,0,0,1,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,1,0,0,1,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,0,1,0,Latinx
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,1,White
0,0,0,1,0,0,0,1,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,1,Latinx
0,0,0,0,0,0,0,0,0,1,0,NA
0,0,1,0,0,0,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,1,0,1,0,0,Black
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,1,0,1,0,0,Black
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,White
1,1,0,0,0,0,0,0,0,1,0,Black
0,0,0,0,0,0,0,1,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
1,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,1,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,NA
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,1,0,0,0,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,1,0,0,0,0,0,0,0,1,0,White
0,1,0,0,0,0,0,0,0,1,0,White
1,0,0,0,1,1,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,1,0,0,0,0,0,0,1,0,White
1,0,1,0,0,1,0,0,0,1,0,White
1,0,0,0,0,0,0,1,1,0,0,White
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,1,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,0,1,0,0,1,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Other
0,0,0,0,0,0,0,1,1,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,1,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Black
0,0,0,0,0,0,0,1,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Other
0,0,0,0,0,0,0,1,1,0,0,Latinx
0,0,0,0,1,0,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,1,0,0,0,0,1,0,Black
0,0,0,0,0,0,0,0,0,1,0,NA
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Black
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,0,1,0,White
0,0,0,0,0,0,0,1,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,Other
0,0,1,0,0,0,0,0,0,0,0,Other
0,0,1,0,0,0,0,0,0,1,0,Latinx
1,0,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,Latinx
1,1,0,0,1,0,0,0,0,1,0,White
0,0,0,0,1,0,0,0,0,1,0,Latinx
1,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,1,0,0,Black
0,0,1,0,0,0,0,1,1,0,0,Latinx
1,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Other
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,1,1,1,0,0,White
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,0,0,0,1,0,1,0,0,Other
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,0,0,0,0,1,0,1,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,Other
0,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,Other
0,0,0,0,0,0,0,1,0,1,0,Latinx
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,1,0,1,0,0,NA
0,0,0,1,0,0,0,0,0,0,1,White
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,Other
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Asian
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,1,0,0,0,0,1,0,Black
0,0,0,0,0,0,0,1,1,0,0,Black
0,0,0,1,0,0,0,0,0,0,1,NA
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,0,0,0,1,0,White
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,0,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,1,0,0,0,0,0,0,1,0,Other
0,0,0,1,0,0,0,0,0,0,1,Asian
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,Asian
0,1,1,0,0,1,0,0,0,1,0,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,1,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,0,1,0,White
0,0,0,0,1,0,0,0,0,1,0,White
0,0,0,0,0,0,0,1,0,0,0,Black
0,0,0,1,0,0,0,0,0,0,1,NA
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,1,0,1,1,0,0,Asian
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,1,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,1,0,0,0,1,0,Latinx
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,0,0,0,1,0,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,0,1,0,1,0,White
0,0,0,0,0,0,0,1,1,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,0,0,0,0,1,0,0,0,White
0,0,0,0,0,0,0,1,1,0,0,White
0,1,0,0,0,0,1,0,1,0,0,White
0,0,0,0,0,0,0,1,1,0,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,NA
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,NA
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,1,0,0,0,0,0,0,0,1,0,Latinx
1,0,0,0,0,0,0,1,0,0,0,White
1,0,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,1,0,0,0,0,1,0,Other
1,1,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,0,1,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Black
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,Black
0,0,0,0,0,0,0,1,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,NA
0,1,0,0,0,0,0,0,0,1,0,Other
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,0,0,0,1,0,1,0,0,Latinx
0,0,0,0,0,0,0,1,1,0,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,0,0,0,1,0,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,0,0,0,1,0,1,0,0,White
0,0,0,1,0,0,0,0,0,0,1,White
0,0,1,0,0,0,0,0,0,1,0,Latinx
0,0,1,0,0,0,0,0,0,1,0,Asian
0,0,1,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,Latinx
0,0,0,1,0,0,0,0,0,0,1,White
0,1,0,0,0,0,0,0,0,1,0,White
0,0,0,1,0,0,0,0,0,0,1,Other
0,0,0,1,0,0,0,0,0,0,1,White
0,0,0,1,0,0,0,0,0,0,1,Latinx
